position,a58db253434c6759,9fcccaab3f956f66,de81d543721249f6,4b528a07c6810670,fc337481622c4dc8,9a97a9cd9ac398de,7eb3bed60a67f44d,359da2e3798189c9,b4c8c0b52049e4de,e2d0d77756858a3c,0d5c5b6ed855dbbc,dbde4e323567f381
M27,-52.52,-55.53,-52.93,-54.14,-52.0,-55.27,-51.72,-54.14,-58.07,-52.5,-53.9,-58.8
M27,-49.48,-54.41,-51.28,-57.0,-52.17,-51.81,-51.78,-54.92,-59.19,-52.67,-55.71,-59.11
M29,-51.09,-59.64,-54.38,-54.46,-63.5,-47.8,-44.05,-65.0,-63.71,-61.35,-62.36,-59.43
M29,-46.9,-61.53,-50.91,-49.4,-51.42,-50.17,-38.06,-57.63,-70.91,-59.0,-56.5,-53.06
M29,-51.64,-57.08,-54.56,-54.09,-72.0,-49.88,-45.25,-65.0,-69.25,-60.31,-62.57,-58.25
M29,-47.88,-57.29,-49.71,-48.35,-52.11,-49.18,-38.12,-57.67,-69.71,-58.91,-56.84,-53.25
M29,-53.18,-61.21,-56.12,-56.32,-69.38,-51.1,-46.17,-61.14,-67.85,-60.4,-63.64,-59.07
M29,-51.32,-58.64,-55.08,-54.08,-71.5,-47.68,-44.38,-60.14,-64.77,-60.36,-61.6,-57.31
M29,-46.68,-55.91,-49.5,-47.43,-52.12,-50.89,-38.0,-58.36,-71.0,-59.89,-59.19,-53.32
M30,-65.64,-73.83,-72.71,-59.75,-63.5,-61.43,-61.8,-62.11,-57.56,-49.46,-54.25,-56.39
M30,-65.85,-72.0,-69.2,-62.82,-67.4,-62.77,-56.38,-60.64,-56.62,-49.8,-54.62,-57.47
M30,-68.2,-70.33,-73.5,-69.06,-62.33,-62.94,-59.78,-62.67,-57.85,-50.36,-54.96,-58.67
M30,-64.08,-70.4,-68.33,-63.78,-63.0,-62.0,-61.56,-60.12,-55.36,-50.78,-54.54,-55.8
M31,-65.1,-63.3,-61.58,-65.25,-69.2,-62.0,-55.86,-53.84,-58.15,-58.39,-56.53,-56.52
M31,-61.62,-62.64,-61.36,-68.2,100,-61.83,-56.35,-54.6,-58.85,-60.44,-57.71,-55.08
M31,-61.23,-64.38,-63.53,-70.1,-74.5,-61.77,-55.68,-54.62,-59.69,-60.8,-58.26,-57.2
M5,-47.84,-49.43,-51.27,-53.55,-50.18,-58.4,-56.62,-61.83,-63.85,-56.95,-63.0,-65.72
M5,-48.06,-49.93,-48.1,-51.06,-48.7,-56.57,-54.52,-60.52,-64.38,-58.86,-63.48,-62.33
M5,-48.3,-48.74,-50.87,-50.84,-49.72,-60.42,-53.6,-60.33,-61.82,-58.52,-67.67,-60.6
M6,-48.04,-49.91,-58.57,-45.52,-40.16,-51.32,-55.14,-56.39,-61.81,-68.56,-65.2,-66.1
M6,-48.09,-50.32,-57.0,-45.15,-40.36,-52.11,-53.5,-57.88,-62.0,-69.5,-65.3,-66.64
M6,-48.6,-51.27,-58.25,-46.52,-42.5,-52.5,-55.6,-56.5,-61.7,-70.12,-64.85,-67.64
M7,-73.59,-66.84,-60.4,-72.79,-73.25,-72.78,-76.82,-84.33,-85.0,-84.44,-87.17,-84.8
M7,-73.24,-62.96,-57.43,-72.71,-72.89,-73.8,-74.31,-75.0,-83.67,-78.25,-86.17,-76.83
M7,-60.73,-52.45,-46.04,-58.35,-56.62,-58.41,-62.14,-66.0,-74.67,-67.67,-75.4,-73.29
M7,-57.6,-52.1,-45.12,-57.58,-57.07,-56.67,-62.54,-61.0,100,-69.5,-81.6,-68.33
M8,-49.04,-56.88,-49.58,-53.44,-53.57,-59.32,-57.19,-54.29,-66.2,-59.59,-67.5,-60.36
M8,-48.45,-54.5,-49.32,-53.24,-51.75,-54.47,-56.65,-53.17,-70.5,-57.26,-60.0,-58.45
M8,-51.6,-54.14,-49.24,-55.38,-55.42,-56.0,-57.54,-51.78,-64.5,-56.95,-63.33,-54.64
